ADRIATIC SERIES Triathlon Cupra Marittima | 25-04-2026 | Cupra Marittima (Ascoli Piceno) | Marche | ADRIATIC SERIES Triathlon Sprint NO DRAFT | https://www.myfitri.it/evento/3910
ADRIATIC SERIES Triathlon Cupra Marittima | 26-04-2026 | Cupra Marittima (Ascoli Piceno) | Marche | ADRIATIC SERIES Triathlon Olimpico Cupra Marittima | https://www.myfitri.it/evento/3910
ADRIATIC SERIES Triathlon Olimpico Città di Vieste | 07-06-2026 | Vieste (Foggia) | Puglia | ADRIATIC SERIES Triathlon Olimpico  Città di Vieste | https://www.myfitri.it/evento/3926
ADRIATIC SERIES Triathlon Sprint Città di San Mauro Mare | 12-09-2026 | San Mauro Pascoli (Forlì) | Emilia-Romagna | ADRIATIC SERIES ParaTriathlon Super Sprint | https://www.myfitri.it/evento/3972
ADRIATIC SERIES Triathlon Sprint Città di San Mauro Mare | 12-09-2026 | San Mauro Pascoli (Forlì) | Emilia-Romagna | ADRIATIC SERIES Triathlon Sprint Città di San Mauro Mare | https://www.myfitri.it/evento/3972
AQUATHLON CITTA' DI PAOLA - TROFEO SAN FRANCESCO | 26-07-2026 | Paola (Cosenza) | Calabria | AQUATHLON KIDS CITTA' DI PAOLA - TROFEO SAN FRANCESCO | https://www.myfitri.it/evento/3927
AQUATHLON CITTA' DI PAOLA - TROFEO SAN FRANCESCO | 26-07-2026 | Paola (Cosenza) | Calabria | AQUATHLON YOUTH CITTA' DI PAOLA - TROFEO SAN FRANCESCO | https://www.myfitri.it/evento/3927
AQUATHLON DEL CASTELLO | 14-06-2026 | Santa Marinella (Roma) | Lazio | AQUATHLON DEL CASTELLO     Giovanile | https://www.myfitri.it/evento/3923
AQUATHLON DEL CASTELLO | 14-06-2026 | Santa Marinella (Roma) | Lazio | AQUATHLON DEL CASTELLO | https://www.myfitri.it/evento/3923
AQUATHLON DEL CASTELLO | 21-06-2026 | Santa Marinella (Roma) | Lazio | AQUATHLON DEL CASTELLO     Giovanile | https://www.myfitri.it/evento/3923
AQUATHLON DELLE ALPI | 10-05-2026 | Bolzano/Bozen (Bolzano) | Trentino-Alto Adige/Südtirol | Aquathlon Delle Alpi KIDS | https://www.myfitri.it/evento/3892
AQUATHLON DELLE ALPI | 10-05-2026 | Bolzano/Bozen (Bolzano) | Trentino-Alto Adige/Südtirol | Aquathlon Delle Alpi Sprint | https://www.myfitri.it/evento/3892
AQUATHLON DELLE ALPI | 10-05-2026 | Bolzano/Bozen (Bolzano) | Trentino-Alto Adige/Südtirol | Aquathlon Delle Alpi Super Sprint | https://www.myfitri.it/evento/3892
AQUATHLON DI GIOVINAZZO | 30-08-2026 | Giovinazzo (Bari) | Puglia | AQUATHLON DI GIOVINAZZO | https://www.myfitri.it/evento/3924
ARGONAUTI TRI | 20-09-2026 | Pisticci (Matera) | Basilicata | ARGONAUTI TRI | https://www.myfitri.it/evento/3951
ASTICO DUATHLON 2026 | 29-03-2026 | Lugo di Vicenza (Vicenza) | Veneto | Astico Duathlon Kids | https://www.myfitri.it/evento/4067
ASTICO DUATHLON 2026 | 29-03-2026 | Lugo di Vicenza (Vicenza) | Veneto | Astico duathlon sprint bronze | https://www.myfitri.it/evento/4067
AVIGLIANA DIAMOND EVENT  2° AQUATHLON GIOVANILE & TRIATHLON SPRINT Avigliana - 2° Memorial Simone Di Raimondo | 19-09-2026 | Avigliana (Torino) | Piemonte | AVIGLIANA DIAMOND EVENT  2° AQUATHLON GIOVANILE & TRIATHLON SPRINT Avigliana - 2° Memorial Simone Di Raimondo | https://www.myfitri.it/evento/4035
AVIGLIANA DIAMOND EVENT  2° AQUATHLON GIOVANILE & TRIATHLON SPRINT Avigliana - 2° Memorial Simone Di Raimondo | 20-09-2026 | Avigliana (Torino) | Piemonte | AVIGLIANA DIAMOND EVENT  2° AQUATHLON GIOVANILE & TRIATHLON SPRINT Avigliana - 2° Memorial Simone Di Raimondo | https://www.myfitri.it/evento/4035
Adriatic Series Triathlon Sprint, Paratriathlon Sprint e Mixed Relay Città di San Benedetto del Tronto | 10-10-2026 | San Benedetto del Tronto (Ascoli Piceno) | Marche | Adriatic Series Paratriathlon sprint San Benedetto del Tronto | https://www.myfitri.it/evento/3900
Adriatic Series Triathlon Sprint, Paratriathlon Sprint e Mixed Relay Città di San Benedetto del Tronto | 11-10-2026 | San Benedetto del Tronto (Ascoli Piceno) | Marche | ADRIATIC SERIES Triathlon Sprint Grand Final | https://www.myfitri.it/evento/3900
Adriatic Series Triathlon Sprint, Paratriathlon Sprint e Mixed Relay Città di San Benedetto del Tronto | 11-10-2026 | San Benedetto del Tronto (Ascoli Piceno) | Marche | Adriatic Series Paratriathlon sprint Mixed Relay San Benedetto del Tronto | https://www.myfitri.it/evento/3900
BIM Triathlon | 14-06-2026 | Bellaria-Igea Marina (Rimini) | Emilia-Romagna | BIM Triathlon Olimpico | https://www.myfitri.it/evento/3889
Bracciano Paratriathlon | 25-07-2026 | Bracciano (Roma) | Lazio | Bracciano Paratriathlon IPS | https://www.myfitri.it/evento/3925
Bracciano Triathlon Sprint x edizione | 26-07-2026 | Bracciano (Roma) | Lazio | Bracciano Triathlon Sprint  x edizione | https://www.myfitri.it/evento/3982
C.I. Giovani Individuale e Mixed Relay 2+2 | 18-04-2026 | Magione (Perugia) | Umbria | C.I. Giovani Individuale Junior | https://www.myfitri.it/evento/3944
C.I. Giovani Individuale e Mixed Relay 2+2 | 18-04-2026 | Magione (Perugia) | Umbria | C.I. Giovani Individuale Youth A | https://www.myfitri.it/evento/3944
C.I. Giovani Individuale e Mixed Relay 2+2 | 18-04-2026 | Magione (Perugia) | Umbria | C.I. Giovani Individuale Youth B | https://www.myfitri.it/evento/3944
C.I. Giovani Individuale e Mixed Relay 2+2 | 18-04-2026 | Magione (Perugia) | Umbria | Duathlon Kids Cuccioli e Minicuccioli | https://www.myfitri.it/evento/3944
C.I. Giovani Individuale e Mixed Relay 2+2 | 18-04-2026 | Magione (Perugia) | Umbria | Duathlon Kids | https://www.myfitri.it/evento/3944
C.I. Giovani Individuale e Mixed Relay 2+2 | 19-04-2026 | Magione (Perugia) | Umbria | Circuito U23 Next Generation | https://www.myfitri.it/evento/3944
C.I. Giovani Individuale e Mixed Relay 2+2 | 19-04-2026 | Magione (Perugia) | Umbria | Duathlon Mixed Relay 2+2 | https://www.myfitri.it/evento/3944
C.I. Giovani Individuale e Mixed Relay 2+2 | 19-04-2026 | Magione (Perugia) | Umbria | Duathlon Sprint Age Group | https://www.myfitri.it/evento/3944
C.I. Giovani Individuale e Mixed Relay 2+2 | 19-04-2026 | Magione (Perugia) | Umbria | Duathlon Staffette Sviluppo | https://www.myfitri.it/evento/3944
C.I. Giovani Triathlon Ind/C.I. Giovani 2+2/COPPA REGIONI Jr/Youth/ COPPA REGIONI Ragazzi | 03-07-2026 | Spresiano (Treviso) | Veneto | C.I. Triathlon Giovani individuale Cat. Junior ^ | https://www.myfitri.it/evento/3916
C.I. Giovani Triathlon Ind/C.I. Giovani 2+2/COPPA REGIONI Jr/Youth/ COPPA REGIONI Ragazzi | 03-07-2026 | Spresiano (Treviso) | Veneto | Campionati Italiani Giovanili di Triathlon Individuali - Cat. YOUTH A | https://www.myfitri.it/evento/3916
C.I. Giovani Triathlon Ind/C.I. Giovani 2+2/COPPA REGIONI Jr/Youth/ COPPA REGIONI Ragazzi | 03-07-2026 | Spresiano (Treviso) | Veneto | Campionati Italiani Giovanili di Triathlon Individuali - Cat. YOUTH B | https://www.myfitri.it/evento/3916
C.I. Giovani Triathlon Ind/C.I. Giovani 2+2/COPPA REGIONI Jr/Youth/ COPPA REGIONI Ragazzi | 04-07-2026 | Spresiano (Treviso) | Veneto | C.I. Giovani  a Staffetta 2+2 junior | https://www.myfitri.it/evento/3916
C.I. Giovani Triathlon Ind/C.I. Giovani 2+2/COPPA REGIONI Jr/Youth/ COPPA REGIONI Ragazzi | 04-07-2026 | Spresiano (Treviso) | Veneto | C.I. Giovani a Staffetta 2+2 Youth | https://www.myfitri.it/evento/3916
C.I. WINTER TRIATHLON A SQUADRE | 07-02-2026 | Alagna Valsesia (Vercelli) | Piemonte | WINTER DUATHLON KIDS | https://www.myfitri.it/evento/3893
C.I. WINTER TRIATHLON A SQUADRE | 07-02-2026 | Alagna Valsesia (Vercelli) | Piemonte | WINTER DUATHLON SPRINT | https://www.myfitri.it/evento/3893
C.I. WINTER TRIATHLON A SQUADRE | 08-02-2026 | Alagna Valsesia (Vercelli) | Piemonte | C.I. WINTER TRIATHLON A SQUADRE 2x2 | https://www.myfitri.it/evento/3893
C.I. WINTER TRIATHLON A SQUADRE | 08-02-2026 | Alagna Valsesia (Vercelli) | Piemonte | WINTER TRIATHLON KIDS | https://www.myfitri.it/evento/3893
C.I. WINTER TRIATHLON A SQUADRE | 08-02-2026 | Alagna Valsesia (Vercelli) | Piemonte | WINTER TRIATHLON SPRINT | https://www.myfitri.it/evento/3893
CAMPIONATI ITALIANI TRIATHLON CROSS - CAPOLIVERI | 01-05-2026 | Capoliveri (Livorno) | Toscana | CAMPIONATI ITALIANI TRIATHLON CROSS - CAPOLIVERI | https://www.myfitri.it/evento/3983
CAMPIONATO ITALIANO DUATHLON CROSS | 08-03-2026 | Spresiano (Treviso) | Veneto | CAMPIONATO ITALIANO DUATHLON CROSS JUNIOR - YOUTH B - YOUTH A | https://www.myfitri.it/evento/3936
CAMPIONATO ITALIANO DUATHLON CROSS | 08-03-2026 | Spresiano (Treviso) | Veneto | CAMPIONATO ITALIANO DUATHLON CROSS | https://www.myfitri.it/evento/3936
CAMPIONATO ITALIANO DUATHLON SPRINT ASSOLUTO / AGE GROUP / PARADUATHLON / COPPA CRONO | 21-03-2026 | Imola (Bologna) | Emilia-Romagna | CAMPIONATO ITALIANO DUATHLON SPRINT AGE GROUP - L'emozione di correre in pista - 8° EDIZIONE | https://www.myfitri.it/evento/3912
CAMPIONATO ITALIANO DUATHLON SPRINT ASSOLUTO / AGE GROUP / PARADUATHLON / COPPA CRONO | 21-03-2026 | Imola (Bologna) | Emilia-Romagna | CAMPIONATO ITALIANO DUATHLON SPRINT INDIVIDUALE ASSOLUTO - L'emozione di correre in pista - 8° Edizione | https://www.myfitri.it/evento/3912
