AQUATHLON DI GIOVINAZZO | 30-08-2026 | Giovinazzo (Bari) | Puglia | AQUATHLON DI GIOVINAZZO | https://www.myfitri.it/calendario/evento/113847
ARGONAUTI TRI | 20-09-2026 | Pisticci (Matera) | Basilicata | ARGONAUTI TRI | https://www.myfitri.it/calendario/evento/113851
ASTICO DUATHLON 2026 | 29-03-2026 | Lugo di Vicenza (Vicenza) | Veneto | Astico Duathlon Kids | https://www.myfitri.it/calendario/evento/113834
ASTICO DUATHLON 2026 | 29-03-2026 | Lugo di Vicenza (Vicenza) | Veneto | Astico duathlon sprint bronze | https://www.myfitri.it/calendario/evento/113834
AVIGLIANA DIAMOND EVENT  2° AQUATHLON GIOVANILE & TRIATHLON SPRINT Avigliana - 2° Memorial Simone Di Raimondo | 19-09-2026 | Avigliana (Torino) | Piemonte | AVIGLIANA DIAMOND EVENT  2° AQUATHLON GIOVANILE & TRIATHLON SPRINT Avigliana - 2° Memorial Simone Di Raimondo | https://www.myfitri.it/calendario/evento/113855
AVIGLIANA DIAMOND EVENT  2° AQUATHLON GIOVANILE & TRIATHLON SPRINT Avigliana - 2° Memorial Simone Di Raimondo | 20-09-2026 | Avigliana (Torino) | Piemonte | AVIGLIANA DIAMOND EVENT  2° AQUATHLON GIOVANILE & TRIATHLON SPRINT Avigliana - 2° Memorial Simone Di Raimondo | https://www.myfitri.it/calendario/evento/113855
Adriatic Series Triathlon Sprint, Paratriathlon Sprint e Mixed Relay Città di San Benedetto del Tronto | 10-10-2026 | San Benedetto del Tronto (Ascoli Piceno) | Marche | Adriatic Series Paratriathlon sprint San Benedetto del Tronto | https://www.myfitri.it/calendario/evento/113864
Adriatic Series Triathlon Sprint, Paratriathlon Sprint e Mixed Relay Città di San Benedetto del Tronto | 11-10-2026 | San Benedetto del Tronto (Ascoli Piceno) | Marche | ADRIATIC SERIES Triathlon Sprint Grand Final | https://www.myfitri.it/calendario/evento/113864
Adriatic Series Triathlon Sprint, Paratriathlon Sprint e Mixed Relay Città di San Benedetto del Tronto | 11-10-2026 | San Benedetto del Tronto (Ascoli Piceno) | Marche | Adriatic Series Paratriathlon sprint Mixed Relay San Benedetto del Tronto | https://www.myfitri.it/calendario/evento/113864
BIM Triathlon | 14-06-2026 | Bellaria-Igea Marina (Rimini) | Emilia-Romagna | BIM Triathlon Olimpico | https://www.myfitri.it/calendario/evento/113861
Bracciano Paratriathlon | 25-07-2026 | Bracciano (Roma) | Lazio | Bracciano Paratriathlon IPS | https://www.myfitri.it/calendario/evento/113875
Bracciano Triathlon Sprint x edizione | 26-07-2026 | Bracciano (Roma) | Lazio | Bracciano Triathlon Sprint  x edizione | https://www.myfitri.it/calendario/evento/113899
C.I. Giovani Individuale e Mixed Relay 2+2 | 18-04-2026 | Magione (Perugia) | Umbria | C.I. Giovani Individuale Junior | https://www.myfitri.it/calendario/evento/113812
C.I. Giovani Individuale e Mixed Relay 2+2 | 18-04-2026 | Magione (Perugia) | Umbria | C.I. Giovani Individuale Youth A | https://www.myfitri.it/calendario/evento/113812
C.I. Giovani Individuale e Mixed Relay 2+2 | 18-04-2026 | Magione (Perugia) | Umbria | C.I. Giovani Individuale Youth B | https://www.myfitri.it/calendario/evento/113812
C.I. Giovani Individuale e Mixed Relay 2+2 | 18-04-2026 | Magione (Perugia) | Umbria | Duathlon Kids Cuccioli e Minicuccioli | https://www.myfitri.it/calendario/evento/113812
